ST_NM,length
Andaman & Nicobar,332.13450800504864
Andhra Pradesh,8571.794671886446
Arunachal Pradesh,2714.181620567987
Assam,4733.895786910952
Bihar,6163.976231172771
Chandigarh,33.82549218697394
Chhattisgarh,3702.1003255534592
Dadra and Nagar Haveli and Daman and Diu,66.57398964945565
Delhi,219.67962850981945
Goa,336.3656534496933
Gujarat,8919.286697429916
Haryana,3861.955284884983
Himachal Pradesh,2600.2702457511978
Jammu & Kashmir,1778.5307353133726
Jharkhand,3719.1299075331535
Karnataka,9277.865406711675
Kerala,2029.9930929613663
Ladakh,786.7072029187954
Madhya Pradesh,10820.506008304208
Maharashtra,20368.930808936606
Manipur,1765.8299177315037
Meghalaya,1102.1972080333132
Mizoram,1435.1425552168193
Nagaland,1521.42270846689
Odisha,6104.278793222181
Puducherry,125.72503205839021
Punjab,4298.089523498359
Rajasthan,12325.74898799008
Sikkim,561.9160817104704
Tamil Nadu,8710.000489309128
Telangana,5118.45664410625
Tripura,618.8333522410435
Uttar Pradesh,14286.412416407129
Uttarakhand,3040.7332258250835
West Bengal,4342.041751402086
