ST_NM,length
Andaman & Nicobar,332
Andhra Pradesh,8572
Arunachal Pradesh,2714
Assam,4734
Bihar,6164
Chandigarh,34
Chhattisgarh,3702
Dadra and Nagar Haveli and Daman and Diu,67
Delhi,220
Goa,336
Gujarat,8919
Haryana,3862
Himachal Pradesh,2600
Jammu & Kashmir,1779
Jharkhand,3719
Karnataka,9278
Kerala,2030
Ladakh,787
Madhya Pradesh,10821
Maharashtra,20369
Manipur,1766
Meghalaya,1102
Mizoram,1435
Nagaland,1521
Odisha,6104
Puducherry,126
Punjab,4298
Rajasthan,12326
Sikkim,562
Tamil Nadu,8710
Telangana,5118
Tripura,619
Uttar Pradesh,14286
Uttarakhand,3041
West Bengal,4342
,156395
